Customer ID,Grammar,Cheapest,Country,Picture,Review,Fraudulent
84920394,0,0,0,0,0,1
84223934,1,0,0,1,0,1
83202384,0,1,1,0,0,0
84342229,0,0,1,0,1,1
8339332,0,1,1,0,1,0
84332232,0,1,0,0,1,1
84432302,0,1,1,0,0,1
84333736,0,0,0,0,1,1
8455432,0,0,1,0,1,1
8333443,0,1,1,1,1,1
84430232,0,1,1,0,0,0
48886763,0,1,1,0,0,1
83556675,0,0,1,1,0,1
84090932,0,0,1,0,1,0
84228325,1,0,1,1,0,0
83434321,0,0,0,0,1,0
84567349,0,0,0,0,0,0
83203948,0,1,1,1,0,1
84422345,0,0,1,0,0,0
83103948,1,1,0,0,0,0
83332554,0,1,1,1,1,1
84567334,1,0,1,0,0,1
83204956,0,1,1,1,0,0
84523342,0,0,1,0,0,1
83234563,0,0,0,0,0,1
8445367,0,0,1,0,0,0
832425673,0,0,0,1,0,1
83466245,0,1,1,1,1,0
84592028,0,0,1,1,1,0
19,0,0,0,1,0,0
10,0,0,1,1,1,1
14,1,1,0,0,0,1
24,0,0,0,1,1,0
22,0,0,1,0,1,1
0,0,0,0,0,1,0
6,1,0,1,0,0,0
13,0,0,1,1,1,0
16,0,0,1,1,0,0
4,0,1,0,1,1,0
20,0,0,0,1,1,0
18,1,0,1,0,0,0
25,0,0,1,0,0,0
7,0,0,1,1,1,0
9,0,0,1,0,0,0
5,1,1,1,1,1,0
21,0,1,0,1,1,0
23,0,0,1,0,1,0
26,0,0,0,0,0,0
15,0,1,1,1,0,0
1,0,0,1,0,1,0
2,0,0,1,1,0,1
11,0,0,0,0,0,0
8,0,1,1,1,0,0
12,1,0,1,0,0,0
17,0,1,1,0,1,1
3,0,0,0,1,1,1
14,0,0,0,0,1,1
7,0,0,1,0,1,1
23,0,0,1,0,1,0
25,0,1,0,0,1,0
15,0,1,0,0,1,0
16,0,1,1,1,0,1
2,0,1,1,1,1,0
22,0,0,1,0,1,1
24,0,1,0,0,1,0
20,0,0,1,0,1,1
0,0,1,1,1,0,0
9,0,0,1,0,1,1
13,0,1,1,1,1,0
26,0,0,0,1,0,1
11,0,1,1,1,1,1
18,0,0,1,0,1,0
21,0,0,1,1,1,0
10,0,0,0,0,0,1
6,1,1,1,0,0,1
1,0,0,0,0,1,1
5,0,1,0,0,1,1
19,0,0,1,0,0,0
8,0,0,0,0,1,0
3,0,0,1,1,0,1
17,0,1,0,1,0,1
4,0,0,1,1,0,0
12,0,0,1,1,0,0
23,0,1,0,0,0,0
0,1,0,1,1,0,1
10,0,1,1,0,1,0
25,0,0,1,0,0,0
4,0,1,1,0,0,0
12,0,0,0,1,1,0
8,0,0,1,0,0,1
7,0,1,1,1,1,1
11,0,1,1,1,1,0
26,0,1,1,0,0,0
9,0,0,1,0,0,0
3,0,1,0,0,1,1
15,0,0,1,0,0,1
22,0,0,0,1,0,0
21,0,0,1,0,1,1
16,0,1,0,0,0,1
19,0,1,0,1,0,0
6,0,1,1,0,0,0
18,1,1,1,0,0,1
2,0,0,1,0,1,0
5,0,0,1,0,0,0
14,1,0,0,0,0,1
20,1,1,1,1,0,0
24,0,0,0,1,1,0
13,1,1,1,0,0,1
1,0,0,1,0,0,0
17,1,0,1,1,1,1
